Gene	t1_gene_score	t1_SIEG_score
ALG11	0.068525653	-0.147719829
SPC24	1.375047326	5.412171265
CENPA	2.593215853	10.59783709
SPC25	1.820281961	7.313593517
CENPK	2.321225728	9.431812365
RPL36A	0	-0.43962773
RAD51	1.66546663	6.657321161
CDC45	2.655913479	10.86120416
NUF2	2.914056786	11.96775875
CENPM	2.690210511	11.0392337
GINS4	2.498794086	10.19091991
CENPW	2.962766829	12.19281919
AURKB	2.635710599	10.78912223
PRIM1	1.445310134	5.710887593
HJURP	2.685217018	10.99153741
NDC80	2.710110125	11.09676823
GINS3	2.485408471	10.13061563
LSM11	0	-0.43962773
NOL9	1.134789425	4.384211438
POP1	1.419028093	5.612706368
ESPL1	2.132544095	8.629919242
PKMYT1	1.453419996	5.760894458
MED30	1.41249668	5.597957402
CHAF1B	2.36164177	9.596953803
MARS2	0.903272146	3.431674133
BIRC5	2.51520023	10.26849193
CHEK1	2.316623994	9.419769284
BUB1B	2.723510358	11.15521664
SPATA5L1	0.262112039	0.656856946
ALG14	0.143818216	0.169724266
WDR25	0.417621716	1.324181535
KIN	0.777641233	2.872875509
GINS2	2.780165412	11.40279529
NCAPG	2.58510875	10.55975974
TAF1B	0.281585712	0.761621399
DTL	2.405241487	9.793197117
KIF23	2.527925802	10.32491515
DONSON	1.599676551	6.363284502
SNAPC1	0.199326733	0.424258495
TUBGCP4	1.464034336	5.794423136
DHX33	1.955044407	7.905363332
UTP15	1.314789611	5.135482409
CDC6	2.673415288	10.93163826
MED11	0.653208837	2.335884617
CLP1	0.196873105	0.404937308
POLR3F	0.24178608	0.593920788
MAD2L1	3.012361702	12.37692894
RAD51C	0	-0.43962773
CDT1	2.419706065	9.866864985
POLR3B	0	-0.43962773
NOP16	2.536126754	10.40050512
CCNA2	2.620201052	10.71952665
MED27	1.2601861	4.944916048
GTF2E1	1.063762883	4.092768343
EXOSC6	0.29105355	0.821056641
MASTL	2.25186622	9.150883782
GPN2	0.156529361	0.21696104
